adcode,name,longitude,latitude
6.33E+11,玛多县,98.209206,34.915946
4.60E+11,海口市,110.198286,20.044412
5.00E+11,重庆市,106.551643,29.562849
2.11E+11,盖州市,122.349012,40.40074
6.21E+11,庄浪县,106.036686,35.202385
6.10E+11,市辖区,,
4.40E+11,海珠区,113.317443,23.083788
3.60E+11,瑞昌市,115.681335,29.675834
5.11E+11,利州区,105.845307,32.433756
3.31E+11,岱山县,122.226237,30.264139
2.10E+11,东洲区,124.038685,41.853191
6.32E+11,泽库县,101.466689,35.035313
4.51E+11,贺州市,111.566871,24.403528
5.11E+11,射洪县,105.388412,30.871131
5.40E+11,南木林县,89.099242,29.68233
3.51E+11,市辖区,,
6.23E+11,玛曲县,102.072698,33.997712
5.23E+11,施秉县,108.124379,27.03292
5.31E+11,宁蒗彝族自治县,100.852001,27.28207
5.11E+11,东兴区,105.075489,29.592756
2.11E+11,兴隆台区,122.070769,41.119898
2.20E+11,伊通满族自治县,125.305393,43.345754
3.61E+11,赣州市,114.933546,25.830694
6.10E+11,凤县,106.515803,33.91091
3.71E+11,泗水县,117.251195,35.664323
4.51E+11,宜州市,108.636414,24.485214
1.31E+11,柏乡县,114.693425,37.482422
5.10E+11,金堂县,104.411976,30.861979
6.53E+11,叶城县,77.413836,37.882989
5.11E+11,绵阳市,104.679004,31.467459
3.41E+11,桐城市,116.936748,31.035848
2.30E+11,恒山区,130.904963,45.210668
5.11E+11,阆中市,106.005046,31.558356
4.31E+11,新宁县,110.856988,26.433367
3.41E+11,市辖区,,
4.51E+11,靖西市,106.417805,23.134117
5.00E+11,城口县,108.664214,31.947633
5.12E+11,市辖区,,
2.30E+11,萝北县,130.85155,47.576444
6.54E+11,和布克赛尔蒙古自治县,85.728328,46.793235
1.51E+11,莫力达瓦达斡尔族自治旗,124.519023,48.477728
3.31E+11,椒江区,121.442978,28.672981
4.11E+11,南乐县,115.204675,36.069476
5.41E+11,措美县,91.433509,28.438202
4.51E+11,灵山县,109.291006,22.416536
4.50E+11,桂林市,110.179953,25.234479
2.20E+11,长春市,125.323513,43.817251
4.42E+11,城区,115.365058,22.779207
4.11E+11,湖滨区,111.188397,34.770886
4.40E+11,始兴县,114.061789,24.952976
2.11E+11,盘锦市,122.170584,40.719847
2.11E+11,银州区,123.842305,42.286129
3.51E+11,武平县,116.100414,25.095386
5.33E+11,勐腊县,101.564635,21.459233
5.32E+11,楚雄市,101.545906,25.032889
5.23E+11,雷山县,108.07754,26.378442
1.41E+11,偏关县,111.508831,39.436306
1.41E+11,古县,111.920465,36.266914
4.10E+11,郑州市,113.625328,34.746611
5.40E+11,西藏自治区,91.117525,29.647535
1.51E+11,察哈尔右翼后旗,113.191035,41.436069
3.30E+11,市辖区,,
4.40E+11,盐田区,114.236739,22.557001
5.23E+11,龙里县,106.979524,26.453154
5.11E+11,市辖区,,
3.71E+11,栖霞市,120.849675,37.335123
3.50E+11,三明市,117.638678,26.263406
3.61E+11,铅山县,117.709659,28.315664
3.61E+11,抚州市,116.358181,27.949217
5.12E+11,市辖区,,
1.40E+11,壶关县,113.207049,36.115448
4.30E+11,芙蓉区,113.032539,28.185389
1.31E+11,文安县,116.457898,38.87292
1.30E+11,桥西区,114.461088,38.004193
4.30E+11,醴陵市,113.496999,27.646096
4.51E+11,凌云县,106.56131,24.347557
1.53E+11,阿拉善盟,105.728957,38.851921
3.40E+11,龙子湖区,117.379778,32.950611
5.12E+11,南江县,106.828697,32.346589
1.20E+11,市辖区,117.200983,39.084158
4.41E+11,潮阳区,116.601509,23.265356
4.21E+11,曾都区,113.37112,31.71628
6.11E+11,山阳县,109.882289,33.532172
2.20E+11,铁西区,124.345722,43.146155
1.40E+11,黎城县,113.387155,36.502328
3.72E+11,曹县,115.542328,34.825508
6.10E+11,岐山县,107.621053,34.443459
1.51E+11,市辖区,,
5.23E+11,平塘县,107.322323,25.822349
2.11E+11,丹东市,124.35445,40.000787
3.51E+11,政和县,118.857642,27.366104
5.21E+11,思南县,108.253882,27.93755
6.21E+11,陇西县,104.634983,35.00394
2.31E+11,乌马河区,128.799477,47.727687
3.71E+11,罗庄区,118.284786,34.996741
4.21E+11,云梦县,113.753554,31.020983
5.13E+11,石渠县,98.102914,32.97896
6.10E+11,乾县,108.239473,34.527551
3.42E+11,池州市,117.491592,30.664779
3.21E+11,滨海县,119.82083,33.990334
2.30E+11,尚志市,128.009894,45.209586
1.31E+11,三河市,117.078294,39.982718
1.31E+11,双滦区,117.799888,40.959236
6.30E+11,西宁市,101.778223,36.617134
5.12E+11,珙县,104.709202,28.43863
4.21E+11,嘉鱼县,113.939271,29.970676
4.23E+11,来凤县,109.407828,29.493484
6.11E+11,神木县,110.498939,38.842578
3.50E+11,晋安区,119.328521,26.082107
4.10E+11,石龙区,112.898818,33.898713
2.21E+11,辉南县,126.046783,42.684921
1.53E+11,二连浩特市,111.951002,43.6437
3.71E+11,日照市,119.526925,35.416734
4.31E+11,石门县,111.380014,29.584292
3.51E+11,市辖区,,
4.11E+11,红旗区,113.875245,35.30385
6.23E+11,合作市,102.910484,35.000286
3.42E+11,青阳县,117.84743,30.63923
2.11E+11,太平区,121.678604,42.010669
4.21E+11,咸宁市,114.322616,29.841362
5.40E+11,谢通门县,88.261664,29.432476
2.21E+11,梅河口市,125.710859,42.539253
6.21E+11,市辖区,,
4.21E+11,宜昌市,111.286445,30.691865
1.31E+11,献县,116.122725,38.190185
5.40E+11,八宿县,96.917836,30.053209
1.31E+11,鹰手营子矿区,117.659499,40.546361
1.31E+11,香河县,117.006093,39.761424
5.33E+11,勐海县,100.452547,21.957353
4.30E+11,湘乡市,112.550205,27.718549
6.23E+11,和政县,103.350997,35.424603
4.11E+11,马村区,113.322332,35.256108
5.11E+11,广汉市,104.282429,30.977119
4.11E+11,源汇区,114.017948,33.565441
2.10E+11,新抚区,123.912872,41.862026
1.51E+11,霍林郭勒市,119.68187,45.533962
4.42E+11,阳西县,111.61766,21.752771
3.31E+11,吴兴区,120.185838,30.857151
1.30E+11,高邑县,114.611121,37.615534
3.71E+11,潍城区,119.024835,36.7281
3.20E+11,市辖区,,
1.51E+11,乌兰察布市,113.132584,40.994785
3.30E+11,平阳县,120.565793,27.661918
3.20E+11,玄武区,118.797757,32.048498
4.41E+11,五华县,115.775788,23.932409
1.31E+11,沙河市,114.503339,36.854929
1.41E+11,临猗县,110.774547,35.144277
1.40E+11,天镇县,114.090867,40.420237
3.40E+11,市辖区,,
4.10E+11,平顶山市,113.192661,33.766169
3.21E+11,灌南县,119.315651,34.087134
1.10E+11,大兴区,116.341483,39.726917
3.71E+11,沂水县,118.627917,35.79045
5.00E+11,梁平县,107.769568,30.654233
2.20E+11,农安县,125.184887,44.432763
3.70E+11,即墨市,120.447158,36.389408
4.45E+11,普宁市,116.165777,23.297493
5.21E+11,威宁彝族回族苗族自治县,104.253071,26.873806
5.30E+11,澄江县,102.904629,24.675689
5.32E+11,禄丰县,102.079027,25.150111
3.51E+11,福鼎市,120.216977,27.324479
4.21E+11,市辖区,,
4.11E+11,唐河县,112.807636,32.681335
3.41E+11,市辖区,,
4.31E+11,津市市,111.877499,29.60548
1.30E+11,北戴河区,119.484522,39.834596
5.40E+11,岗巴县,88.520031,28.274601
3.42E+11,郎溪县,119.179656,31.126412
3.61E+11,丰城市,115.771093,28.159141
3.31E+11,三门县,121.395711,29.104789
2.31E+11,同江市,132.510919,47.642707
4.31E+11,苏仙区,113.112105,25.797013
3.71E+11,垦利区,118.575228,37.573054
3.40E+11,市辖区,,
3.71E+11,龙口市,120.477813,37.646107
3.70E+11,商河县,117.157232,37.309041
1.31E+11,任县,114.671936,37.120982
4.30E+11,长沙县,113.081097,28.246918
3.41E+11,烈山区,116.813042,33.895139
3.61E+11,于都县,115.415508,25.952068
4.31E+11,临武县,112.563456,25.27556
6.40E+11,泾源县,106.330646,35.498159
5.41E+11,山南市,91.773134,29.237137
4.50E+11,市辖区,,
3.71E+11,鱼台县,116.650608,35.012749
2.31E+11,嘉荫县,130.403134,48.888972
1.31E+11,承德县,118.173824,40.768238
4.51E+11,金城江区,108.037276,24.689703
5.10E+11,武侯区,104.043235,30.641907
2.31E+11,桃山区,131.020202,45.765705
4.11E+11,卫辉市,114.064907,35.398494
1.31E+11,涞水县,115.713904,39.394316
4.31E+11,益阳市,112.355129,28.554349
5.12E+11,荥经县,102.846737,29.792931
2.31E+11,北安市,126.490864,48.241365
1.31E+11,阜平县,114.195104,38.849152
4.45E+11,揭东区,116.412015,23.566126
4.21E+11,应城市,113.572707,30.92837
4.10E+11,偃师市,112.789534,34.72722
4.40E+11,斗门区,113.296467,22.2092
3.50E+11,荔城区,119.015061,25.431941
2.20E+11,市辖区,,
1.41E+11,乡宁县,110.847021,35.970389
4.21E+11,团风县,114.872191,30.643569
1.10E+11,顺义区,116.654642,40.130211
3.61E+11,赣县,115.011561,25.86069
3.31E+11,武义县,119.816562,28.89267
1.20E+11,静海区,116.974232,38.94745
2.21E+11,长白朝鲜族自治县,128.200789,41.420018
5.13E+11,会理县,102.244683,26.655026
6.30E+11,互助土族自治县,101.959271,36.844248
1.31E+11,围场满族蒙古族自治县,117.760159,41.938529
3.40E+11,禹会区,117.342155,32.929799
1.30E+11,晋州市,115.044213,38.033671
3.50E+11,秀屿区,119.105494,25.31836
3.41E+11,来安县,118.435718,32.452199
3.71E+11,坊子区,119.166485,36.654448
2.30E+11,依兰县,129.567877,46.325419
1.20E+11,北辰区,117.135488,39.224791
4.20E+11,汉阳区,114.21861,30.553983
4.11E+11,虞城县,115.828319,34.400835
3.41E+11,颍上县,116.256772,32.653211
5.11E+11,广元市,105.843357,32.435435
3.42E+11,泾县,118.419859,30.688634
2.21E+11,通榆县,123.088238,44.81291
4.40E+11,金湾区,113.362656,22.147471
4.42E+11,市辖区,,
3.21E+11,盐城市,120.163107,33.347708
3.41E+11,雨山区,118.498578,31.682132
4.42E+11,市辖区,,
4.30E+11,市辖区,,
2.20E+11,市辖区,,
3.71E+11,东营区,118.582184,37.448964
4.30E+11,衡山县,112.868268,27.23029
1.30E+11,曹妃甸区,118.460379,39.27307
5.40E+11,曲水县,90.743853,29.353058
5.12E+11,名山区,103.109184,30.069954
4.41E+11,佛山市,113.121435,23.021478
3.60E+11,景德镇市,117.178222,29.268945
2.20E+11,铁东区,124.409591,43.162105
4.50E+11,武鸣区,108.27467,23.158595
3.30E+11,拱墅区,120.141406,30.319037
5.43E+11,革吉县,81.145433,32.387233
2.30E+11,富拉尔基区,123.629189,47.208843
3.41E+11,花山区,118.492565,31.71971
3.72E+11,阳谷县,115.79182,36.114392
4.51E+11,八步区,111.552095,24.411805
5.23E+11,惠水县,106.656442,26.13278
4.33E+11,湘西土家族苗族自治州,109.738906,28.31195
6.50E+11,达坂城区,88.311099,43.363668
5.20E+11,紫云苗族布依族自治县,106.084441,25.751047
5.23E+11,罗甸县,106.751589,25.426173
3.61E+11,广丰区,118.19124,28.436285
1.51E+11,察哈尔右翼中旗,112.635577,41.277462
6.10E+11,宝鸡市,107.237743,34.363184
2.11E+11,市辖区,,
2.21E+11,二道江区,126.042678,41.774044
2.10E+11,沈北新区,123.583196,41.912487
2.31E+11,四方台区,131.337592,46.597264
4.50E+11,永福县,109.983076,24.979855
3.72E+11,无棣县,117.625696,37.77026
6.50E+11,乌尔禾区,85.693742,46.089148
6.21E+11,秦州区,105.724215,34.580888
1.31E+11,怀安县,114.385791,40.674193
3.20E+11,南京市,118.796682,32.05957
5.11E+11,盐亭县,105.389453,31.208362
4.10E+11,中原区,113.613337,34.748256
3.21E+11,宝应县,119.360729,33.240391
3.61E+11,寻乌县,115.637933,24.969167
2.31E+11,杜尔伯特蒙古族自治县,124.442572,46.862817
3.31E+11,遂昌县,119.276103,28.592148
3.61E+11,宁都县,116.009472,26.470116
2.31E+11,望奎县,126.486075,46.832719
5.30E+11,宣威市,104.10455,26.219735
3.20E+11,锡山区,120.357858,31.589715
6.23E+11,广河县,103.575834,35.488051
6.21E+11,正宁县,108.359865,35.49178
6.40E+11,灵武市,106.340053,38.102655
3.61E+11,鹰潭市,117.042173,28.272537
4.29E+11,潜江市,112.899762,30.402167
1.30E+11,路北区,118.200692,39.624437
6.32E+11,黄南藏族自治州,102.015248,35.519548
5.40E+11,边坝县,94.7078,30.933652
4.31E+11,君山区,113.006435,29.461106
1.31E+11,兴隆县,117.500558,40.417358
2.20E+11,朝阳区,125.288254,43.833762
1.40E+11,大同县,113.61244,40.040294
2.11E+11,昌图县,124.111099,42.785791
4.30E+11,湖南省,112.9836,28.112743
4.45E+11,云城区,112.043945,22.92815
2.21E+11,乾安县,124.041139,45.003773
1.20E+11,和平区,117.214699,39.117196
4.51E+11,玉州区,110.151153,22.628087
1.51E+11,临河区,107.363918,40.751187
1.30E+11,市辖区,,
6.23E+11,临潭县,103.353919,34.692747
3.72E+11,成武县,115.889764,34.952459
4.23E+11,宣恩县,109.489926,29.98692
5.31E+11,市辖区,,
5.30E+11,寻甸回族彝族自治县,103.256615,25.558201
4.51E+11,环江毛南族自治县,108.258028,24.825664
5.40E+11,达孜县,91.349867,29.66941
3.71E+11,昌邑市,119.403069,36.843319
4.31E+11,宁远县,111.945844,25.570888
4.20E+11,房县,110.733181,32.050378
6.53E+11,且末县,85.529702,38.145485
1.31E+11,下花园区,115.287352,40.502652
4.11E+11,北关区,114.355742,36.10766
3.50E+11,平潭县,119.790168,25.49872
2.10E+11,苏家屯区,123.344062,41.664757
4.31E+11,南县,112.396337,29.362275
6.50E+11,白碱滩区,85.131696,45.687854
1.51E+11,杭锦旗,108.736208,39.833309
5.10E+11,郫县,103.901091,30.795854
4.31E+11,资兴市,113.236146,25.976243
6.11E+11,延安市,109.494112,36.651381
2.10E+11,市辖区,,
1.41E+11,绛县,111.568236,35.49119
1.51E+11,开鲁县,121.319308,43.601244
3.71E+11,宁津县,116.800306,37.652189
2.10E+11,鞍山市,122.994329,41.108647
4.40E+11,南山区,113.930413,22.533287
4.41E+11,廉江市,110.286208,21.6097
4.31E+11,邵阳县,111.273805,26.990637
3.42E+11,市辖区,,
4.11E+11,安阳县,114.130207,36.130584
5.41E+11,浪卡子县,90.397977,28.968031
5.11E+11,朝天区,105.882642,32.651336
1.51E+11,达拉特旗,110.033833,40.412438
3.41E+11,宜秀区,116.987542,30.613332
4.42E+11,阳春市,111.791587,22.17041
6.11E+11,澄城县,109.93235,35.190245
4.30E+11,雨湖区,112.907162,27.856325
5.30E+11,峨山彝族自治县,102.405819,24.168957
4.12E+11,泌阳县,113.327144,32.723975
5.11E+11,金口河区,103.07862,29.244345
2.21E+11,松原市,124.825042,45.141548
6.50E+11,克拉玛依区,84.867844,45.602525
1.31E+11,宁晋县,114.93992,37.624564
3.30E+11,平湖市,121.015142,30.677233
5.23E+11,丹寨县,107.788727,26.19832
1.31E+11,莲池区,115.497097,38.883582
3.20E+11,贾汪区,117.464958,34.436936
2.11E+11,清河区,124.159191,42.546565
3.51E+11,平和县,117.315017,24.363508
1.31E+11,怀来县,115.517861,40.415343
4.41E+11,端州区,112.484848,23.052101
1.31E+11,武邑县,115.887531,37.801665
5.31E+11,景东彝族自治县,100.833877,24.446731
6.33E+11,班玛县,100.737138,32.932723
4.11E+11,市辖区,,
2.11E+11,龙港区,120.893786,40.735519
2.20E+11,双辽市,123.502723,43.518302
4.41E+11,禅城区,113.122421,23.009551
2.10E+11,清原满族自治县,124.924083,42.100538
3.70E+11,历城区,117.06523,36.680259
4.31E+11,安化县,111.212846,28.374107
6.10E+11,市辖区,,
2.30E+11,泰来县,123.416631,46.393694
4.33E+11,花垣县,109.482078,28.572029
3.31E+11,市辖区,,
5.40E+11,巴宜区,94.361094,29.636576
2.10E+11,大连市,121.614848,38.914086
5.30E+11,晋宁县,102.595412,24.66974
5.20E+11,开阳县,106.965089,27.057764
5.13E+11,凉山彝族自治州,102.267712,27.88157
3.21E+11,泗阳县,118.703424,33.722478
4.31E+11,桃源县,111.488925,28.902503
5.10E+11,仁和区,101.738528,26.497765
3.71E+11,陵城区,116.576092,37.335794
3.50E+11,城厢区,118.993884,25.419319
4.11E+11,长垣县,114.668936,35.201548
6.10E+11,金台区,107.146806,34.376069
3.61E+11,信州区,117.966268,28.431006
6.41E+11,中卫市,105.196902,37.499972
4.12E+11,淮滨县,115.419537,32.473258
4.51E+11,合浦县,109.207335,21.660935
6.50E+11,沙依巴克区,87.598195,43.800939
6.11E+11,白水县,109.590671,35.177451
4.41E+11,大埔县,116.695195,24.347782
4.10E+11,荥阳市,113.38324,34.786948
4.51E+11,贵港市,109.598926,23.11153
3.51E+11,丰泽区,118.613172,24.891173
4.45E+11,罗定市,111.569892,22.768285
3.71E+11,市辖区,,
6.40E+11,市辖区,,
6.54E+11,新源县,83.232848,43.433896
6.54E+11,霍城县,80.87898,44.055984
4.21E+11,麻城市,115.008163,31.172739
5.13E+11,稻城县,100.298403,29.037007
3.51E+11,石狮市,118.648066,24.732204
4.21E+11,浠水县,115.265355,30.452115
3.71E+11,岚山区,119.318928,35.121884
3.51E+11,市辖区,,
3.71E+11,兰山区,118.347842,35.051804
1.40E+11,屯留县,112.891998,36.315663
6.53E+11,拜城县,81.85148,41.795912
4.31E+11,市辖区,,
6.53E+11,库尔勒市,86.174633,41.725891
4.40E+11,武江区,113.587756,24.792926
2.22E+11,龙井市,129.427066,42.76631
6.10E+11,王益区,109.075578,35.068964
4.10E+11,河南省,113.753394,34.765869
3.70E+11,临淄区,118.309118,36.826981
3.60E+11,九江县,115.911323,29.608431
6.20E+11,靖远县,104.676774,36.571365
2.33E+11,漠河县,122.538591,52.972272
6.10E+11,碑林区,108.94059,34.256783
3.42E+11,霍山县,116.351892,31.410561
4.30E+11,湘潭县,112.950831,27.778958
2.31E+11,阳明区,129.635615,44.596104
1.51E+11,鄂尔多斯市,109.781327,39.608266
6.54E+11,额敏县,83.628303,46.524673
2.21E+11,东昌区,125.927101,41.702859
3.21E+11,常熟市,120.752481,31.654375
4.11E+11,新乡市,113.926763,35.303704
1.50E+11,红山区,118.953854,42.296588
3.60E+11,东湖区,115.903526,28.698731
2.11E+11,细河区,121.68054,42.025494
3.61E+11,信丰县,114.922922,25.386379
2.31E+11,五营区,129.245343,48.10791
6.52E+11,阜康市,87.952991,44.164402
4.11E+11,方城县,113.012494,33.254391
2.22E+11,延吉市,129.508804,42.89125
3.51E+11,新罗区,117.037155,25.098312
2.10E+11,铁西区,122.969629,41.119884
2.22E+11,延边朝鲜族自治州,129.471868,42.909408
